left_hand,mark_left,mark_right,right_hand
500.0,240.0,420.0,500.0
500.0,238.199704003,419.751642667,500.0
500.0,236.398611241,419.491384009,500.0
500.0,234.597512784,419.219078597,500.0
500.0,232.797226557,418.93457879,500.0
500.0,230.998597687,418.637734876,500.0
500.0,229.202498817,418.328395228,500.0
500.0,227.409830388,418.006406479,500.0
500.0,225.621520888,417.671613707,500.0
500.0,223.838527055,417.323860645,500.0
500.0,222.061834042,416.962989905,500.0
500.0,220.292455539,416.588843219,500.0
500.0,218.531433834,416.201261709,500.0
416.58820343,216.779839829,415.800086168,247.28213501
408.638374329,215.038772996,415.38515737,243.445892334
383.709815979,213.30936127,414.956316401,252.337982178
354.712173462,211.59276087,414.513405013,273.830871582
324.207626343,209.890156058,414.056266008,307.352966309
304.5184021,208.202758819,413.584743641,338.721343994
298.34022522,206.531808455,413.098684052,354.066696167
298.149337769,204.878571102,412.597935735,355.695846558
306.078079224,203.244339156,412.08235002,350.033432007
314.519210815,201.630430597,411.551781597,341.564697266
323.102340698,200.038188223,411.006089065,329.098556519
335.175628662,198.468978778,410.445135513,314.726791382
351.816970825,196.924191967,409.868789135,299.038864136
365.118362427,195.405239361,409.276923869,286.254867554
372.552810669,193.913553186,408.669420079,275.92237854
377.061126709,192.450584983,408.046165263,267.46963501
379.469108582,191.017804154,407.407054794,260.061279297
381.369293213,189.616696364,406.751992697,253.117462158
382.483222961,188.24876182,406.080892454,249.591308594
384.131317139,186.915513406,405.393677843,246.236923218
384.542251587,185.618474683,404.690283812,243.594787598
385.15953064,184.359177745,403.970657376,241.538848877
385.367752075,183.139160932,403.234758545,238.261291504
387.04826355,181.959966396,402.482561289,236.321380615
387.481758118,180.823137519,401.714054513,232.927307129
387.1979599,179.730216195,400.92924307,229.060943604
386.51272583,178.682739954,400.128148791,221.355804443
384.505447388,177.682238953,399.310811526,212.580657959
384.582191467,176.730232818,398.477290217,203.378479004
386.021636963,175.828227357,397.627663968,196.90536499
387.342765808,174.977711133,396.762033132,193.644561768
388.411003113,174.180151916,395.880520403,189.981262207
386.474472046,173.43699301,394.983271901,189.185852051
383.889686584,172.749649469,394.070458257,188.561279297
381.985679626,172.119504214,393.14227569,188.053436279
380.920310974,171.547904051,392.198947057,187.324127197
380.667442322,171.036155614,391.240722894,186.00769043
380.677764893,170.585521235,390.267882418,185.101013184
380.672920227,170.197214765,389.280734493,183.561096191
380.94291687,169.872397356,388.279618562,181.829742432
382.298942566,169.612173219,387.264905513,179.36126709
383.269584656,169.417585386,386.236998503,177.498535156
384.854049683,169.289611483,385.196333699,174.531311035
386.101882935,169.229159541,384.143380958,172.412750244
384.864585876,169.237063868,383.078644413,171.181121826
384.878761292,169.314081005,382.002662972,170.085723877
384.83114624,169.460885773,380.916010719,169.203948975
384.264312744,169.67806747,379.819297203,168.632293701
381.789543152,169.966126199,378.71316761,168.155639648
381.498710632,170.325469387,377.598302815,167.765289307
383.695236206,170.756408505,376.4754193,167.637359619
386.374343872,171.259156008,375.345268932,167.757080078
386.049507141,171.833822533,374.208638598,167.946868896
380.653923035,172.480414373,373.06634969,168.120330811
372.038124084,173.198831247,371.91925743,169.726135254
365.065292358,173.988864391,370.76825004,170.312591553
361.875259399,174.850194992,369.614247742,170.657653809
358.589447021,175.782392985,368.4582016,170.718994141
357.296905518,176.784916227,367.301092184,170.745025635
355.915557861,177.857110068,366.143928081,170.616912842
354.812438965,178.998207327,364.987744222,170.283813477
353.313034058,180.207328691,363.833600062,169.956115723
352.398300171,181.483483542,362.682577588,169.507080078
352.442810059,182.82557121,361.535779174,169.153289795
352.422531128,184.232382675,360.394325292,168.282623291
352.460525513,185.702602695,359.259352076,167.373657227
350.321853638,187.234812364,358.132008756,166.627349854
345.893875122,188.827492107,357.013454969,165.967102051
341.479537964,190.479025078,355.90485796,164.999633789
340.967071533,192.187700963,354.807389683,164.368377686
340.822463989,193.951720177,353.722223826,164.264648438
341.288253784,195.769198412,352.650532753,164.372528076
341.957305908,197.638171541,351.593484403,164.571960449
343.174453735,199.556600835,350.55223915,164.698822021
343.586578369,201.522378471,349.52794664,164.858978271
343.45300293,203.533333302,348.521742623,164.837890625
343.689315796,205.587236856,347.534745807,164.881286621
343.805343628,207.681809528,346.568054734,164.895935059
343.900558472,209.814726935,345.62274472,164.902374268
343.967346191,211.983626395,344.699864844,164.927001953
344.029495239,214.186113489,343.800435041,164.937133789
343.840927124,216.419768678,342.925443281,164.932556152
343.865722656,218.682153933,342.075842871,164.936645508
342.35333252,220.970819335,341.252549892,165.228118896
341.115386963,223.283309623,340.456440773,165.868774414
339.20149231,225.617170638,339.68835003,166.204071045
337.819580078,227.969955652,338.949068175,166.510406494
335.294204712,230.339231518,338.239339798,167.645996094
332.952285767,232.722584644,337.559861848,169.155029297
330.714187622,235.117626744,336.9112821,170.091247559
329.91178894,237.522000336,336.294197831,170.875671387
328.590927124,239.933383988,335.709154696,171.586120605
327.851776123,242.349497261,335.156645818,172.03616333
326.892700195,244.768105356,334.637111085,172.468841553
326.529037476,247.187023431,334.150936652,173.173217773
325.452774048,249.604120599,333.698454661,174.016235352
324.604217529,252.017323567,333.279943149,174.241333008
324.422805786,254.424619941,332.895626175,174.295410156
324.285202026,256.824061167,332.54567412,174.426361084
324.234954834,259.213765131,332.230204191,174.529205322
324.207565308,261.591918395,331.949281091,174.720245361
324.128829956,263.956778095,331.702917868,175.214416504
324.061325073,266.306673491,331.491076917,176.786254883
324.033309937,268.640007182,331.313671134,178.673919678
324.146682739,270.955256009,331.170565208,181.113189697
324.144058228,273.250971627,331.061577047,184.327301025
324.133148193,275.525780794,330.986479303,187.162597656
324.675521851,277.77838537,330.945001022,191.152923584
324.831771851,280.007562042,330.936829366,195.414916992
325.059066772,282.2121618,330.961611429,198.786010742
325.210418701,284.391109178,331.01895611,203.295471191
325.300765991,286.543401275,331.10843605,208.434814453
325.629455566,288.668106568,331.22958961,212.99206543
326.752655029,290.764363553,331.381922882,216.897186279
327.032363892,292.831379211,331.564911721,218.785003662
327.113082886,294.868427328,331.7780038,219.664215088
327.838577271,296.874846686,332.020620651,220.867828369
328.33404541,298.850039136,332.292159714,222.231933594
328.287582397,300.793467577,332.591996366,224.006835938
328.200683594,302.70465385,332.91948593,225.986175537
328.064926147,304.583176564,333.273965645,227.797821045
328.19102478,306.428668872,333.654756616,229.304931641
328.11151123,308.240816206,334.061165705,232.141723633
